nazev_stanice,trvani_vypujcky,pocet_pujceni,zemepisna_sirka,zemepisna_delka,pocet_vraceni,trvani_vypujcky_min
Meadows East,24169902,17390,55.939809466328285,-3.182738850746432,15225,402831.7
Bristo Square,17225991,12846,55.94600418964078,-3.188665492872815,7898,287099.85
Meadow Place,20201914,12464,55.94030045743447,-3.194591930765,9796,336698.57
St Andrew Square,17564827,12218,55.95474881217642,-3.192773668658787,8372,292747.12
Portobello - Kings Road,30872454,11843,55.957915406923476,-3.118332042090287,16656,514540.9
Victoria Quay,27451502,10662,55.977637787726984,-3.174115590621568,15254,457525.03
Canonmills,20461463,9551,55.96280408759764,-3.196283585062929,11940,341024.38
Pollock Halls,16866021,9441,55.939963469723715,-3.171585934311565,6628,281100.35
Castle Street,13974180,8923,55.951500737349754,-3.203183906525282,7398,232903.0
Dundee Terrace,15525932,8801,55.93972942415463,-3.220602995527315,8730,258765.53
Waverley Bridge,15083886,8569,55.95134439884462,-3.191420998989883,8402,251398.1
Fountainbridge,15838628,8464,55.94335692764551,-3.209247501624645,7315,263977.13
Bruntsfield links,11605547,8237,55.93715871276677,-3.206435329645956,5264,193425.78
Charlotte Square,14027843,8134,55.95233546161639,-3.207101172107286,4980,233797.38
Leith Walk,18883762,7964,55.96503980507732,-3.176686414784853,11052,314729.37
Brunswick Place,16298441,7574,55.960929747664,-3.181005314780577,8320,271640.68
Cramond Foreshore,23587377,7313,55.980023741808324,-3.300622016981151,8827,393122.95
Duke Street,20904619,7288,55.96901164826488,-3.16739470303429,11264,348410.32
Tollcross,10570456,6740,55.94428069681837,-3.202964359237739,6424,176174.27
Lauriston Place,9034600,6275,55.944771652335476,-3.197265856419562,3731,150576.67
Stockbridge,13015826,6219,55.95856558589723,-3.208070182227743,8212,216930.43
George Square,7972333,6097,55.94308406301113,-3.188311072722399,6160,132872.22
City Chambers,8262262,5836,55.95010933017899,-3.190257770093808,2723,137704.37
Ocean Terminal,16186932,5505,55.981286014792985,-3.176351263805259,7381,269782.2
Lothian Road,8757559,5472,55.947409199207115,-3.205765497136553,3950,145959.32
Causewayside,7183616,5331,55.93642987756881,-3.180114903557978,4903,119726.93
