,start_station_name,end_station_name,vzdalenost_m
0,Abbeyhill,Balgreen Road,5236.27
1,Abbeyhill,Belford Road,3375.71
2,Abbeyhill,Boroughmuir,3171.09
3,Abbeyhill,Bristo Square,1481.42
4,Abbeyhill,Brunswick Place,828.41
5,Abbeyhill,Bruntsfield Links,2932.68
6,Abbeyhill,Canonmills,1717.61
7,Abbeyhill,Castle Street,1972.38
8,Abbeyhill,Castle Terrace,2082.43
9,Abbeyhill,Causewayside,2141.99
10,Abbeyhill,Chambers Street,1343.33
11,Abbeyhill,Charlotte Square,2195.73
12,Abbeyhill,City Chambers,1260.17
13,Abbeyhill,Colinton Road,3486.13
14,Abbeyhill,Comely Bank Road,2743.69
15,Abbeyhill,Corstorphine Road,6364.78
16,Abbeyhill,Craigleith Road,4093.98
17,Abbeyhill,Cramond Foreshore,8453.86
18,Abbeyhill,Crichton Street,1479.94
19,Abbeyhill,Dalmeny Station,13541.8
20,Abbeyhill,Dalry Road Lidl,3465.21
21,Abbeyhill,Dean Street,2628.5
22,Abbeyhill,Drumsheugh Place,2531.58
23,Abbeyhill,Duke Street,1559.6
24,Abbeyhill,Dundas Street,1910.1
25,Abbeyhill,Dundee Terrace,3472.24
26,Abbeyhill,Dynamic Earth,511.38
27,Abbeyhill,East London Street,1069.36
28,Abbeyhill,Edinburgh Park Station,8972.99
29,Abbeyhill,Edinburgh Royal Infirmary,4310.04
30,Abbeyhill,Edinburgh Zoo,6217.71
31,Abbeyhill,EICC,2586.83
32,Abbeyhill,Fountainbridge,2657.83
33,Abbeyhill,Gamekeeper's Road,8551.96
34,Abbeyhill,George Square,1683.32
35,Abbeyhill,Gladstone Terrace,2080.77
36,Abbeyhill,Gorgie Road,4033.98
37,Abbeyhill,Grassmarket,1802.67
38,Abbeyhill,Haymarket Station,3057.61
39,Abbeyhill,Haymarket Terrace,3323.98
40,Abbeyhill,Heriot Watt - Edinburgh Business School,10560.08
41,Abbeyhill,Heriot Watt - Student Accommodation,11055.79
42,Abbeyhill,Hillside Crescent,370.66
43,Abbeyhill,Holyrood Road,812.71
44,Abbeyhill,Hopetoun Road,14972.6
45,Abbeyhill,Hunter Square,1143.65
46,Abbeyhill,IGMM - Western General,3805.88
47,Abbeyhill,Ingliston Park & Ride,11561.31
48,Abbeyhill,Inverleith Row,2105.11
49,Abbeyhill,Joppa,4874.77
50,Abbeyhill,Kings Building 2,3563.5
51,Abbeyhill,Kings Building 3,3538.07
52,Abbeyhill,Kings Buildings - Murchison House,3446.95
53,Abbeyhill,Kings Buildings 1,3455.45
54,Abbeyhill,Lauriston Place,1946.61
55,Abbeyhill,Leith Walk,1123.8
56,Abbeyhill,Leith Walk North,1411.44
57,Abbeyhill,Logie Green Road,1759.68
58,Abbeyhill,Lothian Road,2263.27
59,Abbeyhill,Marchmont Crescent,2498.54
60,Abbeyhill,McDonald Road,1266.68
61,Abbeyhill,Meadow Place,2176.03
62,Abbeyhill,Meadows East,1837.45
63,Abbeyhill,Meggetland,4909.84
64,Abbeyhill,Milton Road - Edinburgh College,4751.34
65,Abbeyhill,Morningside Road,3827.91
66,Abbeyhill,Murrayfield,4598.31
67,Abbeyhill,Murrayfield Tram,4344.36
68,Abbeyhill,Musselburgh Brunton Hall,7202.25
69,Abbeyhill,Musselburgh Lidl,6686.7
70,Abbeyhill,Ocean Terminal,2906.72
71,Abbeyhill,Orchard Brae House,3200.9
72,Abbeyhill,Picardy Place,885.11
73,Abbeyhill,Pleasance Courtyard,1034.52
74,Abbeyhill,Pollock Halls,1686.77
75,Abbeyhill,Portobello - Kings Road,3367.34
76,Abbeyhill,Queen Margaret University,6692.05
77,Abbeyhill,Roseburn Street,4060.09
78,Abbeyhill,Royal Commonwealth Pool,1809.78
79,Abbeyhill,Royal Edinburgh Hospital,3981.3
80,Abbeyhill,Scotland Street,1555.92
81,Abbeyhill,Sighthill - Edinburgh College,7963.39
82,Abbeyhill,Simon Square,1323.49
83,Abbeyhill,South Trinity Road,2854.12
84,Abbeyhill,St Andrew Square,1259.77
85,Abbeyhill,St Andrews House,633.2
86,Abbeyhill,Stockbridge,2262.14
87,Abbeyhill,Surgeons Hall,1263.68
88,Abbeyhill,Thirlestane Road,2764.2
89,Abbeyhill,Tollcross,2279.12
90,Abbeyhill,Victoria Quay,2490.19
91,Abbeyhill,Waitrose Comely Bank,3223.69
92,Abbeyhill,Warrender Park Road,2471.11
93,Abbeyhill,Waverley Bridge,1271.93
94,Abbeyhill,Waverley Court,840.95
95,Abbeyhill,Waverley Station,996.24
96,Abbeyhill,West Crosscauseway,1496.3
97,Abbeyhill,Wester Coates Terrace,3862.97
98,Abbeyhill,Western General Hospital,3886.46
99,Balgreen,Bruntsfield,2793.25
100,Balgreen,Castle Street,3298.59
101,Balgreen,Charlotte Square,3122.53
102,Balgreen,Comely Bank Road,3173.25
103,Balgreen,Corstorphine Road,1302.77
104,Balgreen,Corstorphine Road - Pinkhill,963.52
105,Balgreen,Craigleith Road,2135.01
106,Balgreen,Dundas Street,3949.19
107,Balgreen,EICC,2654.06
108,Balgreen,Henderson Row,3778.83
109,Balgreen,Leith Walk,5470.71
110,Balgreen,Macdonald Road,4963.79
111,Balgreen,Morningside Road,2853.72
112,Balgreen,Murrayfield,798.38
113,Balgreen,Murrayfield Avenue,1226.48
114,Balgreen,Newkirkgate,6082.78
115,Balgreen,Roseburn Street,1204.43
116,Balgreen,St Andrew Square,4065.06
117,Balgreen,St. John's Road 1,1942.95
118,Balgreen,St. John's Road 2,2507.27
119,Balgreen,Stockbridge,3459.12
120,Balgreen,Tollcross,3060.35
121,Balgreen,"Waitrose, Comely Bank",2866.0
122,Balgreen,Waverley Bridge,3968.16
123,Balgreen,West Crosscauseway,4158.79
124,Balgreen,Wester Coates Terrace,1420.73
125,Balgreen,Whitehouse Road,4243.77
126,Balgreen Road,Abbeyhill,5236.27
127,Balgreen Road,Belford Road,2126.11
128,Balgreen Road,Boroughmuir,2231.48
129,Balgreen Road,Borrowman Square,9454.8
130,Balgreen Road,Bristo Square,3939.72
131,Balgreen Road,Brunswick Place,4999.73
132,Balgreen Road,Bruntsfield Links,2789.9
133,Balgreen Road,Canonmills,4323.43
134,Balgreen Road,Castle Street,3294.87
135,Balgreen Road,Castle Terrace,3177.29
136,Balgreen Road,Causewayside,4426.68
137,Balgreen Road,Charlotte Square,3118.9
138,Balgreen Road,City Chambers,3987.52
139,Balgreen Road,Colinton Road,2488.21
140,Balgreen Road,Comely Bank Road,3170.41
141,Balgreen Road,Corstorphine Road,1306.91
142,Balgreen Road,Craigleith Road,2125.45
143,Balgreen Road,Cramond Foreshore,5511.79
144,Balgreen Road,Dalmeny Station,9750.46
145,Balgreen Road,Dalry Road Lidl,1814.89
146,Balgreen Road,Dean Street,3068.27
147,Balgreen Road,Drumsheugh Place,2793.42
148,Balgreen Road,Dudley Gardens,5547.66
149,Balgreen Road,Duke Street,6191.99
150,Balgreen Road,Dundas Street,3938.68
151,Balgreen Road,Dundee Terrace,1902.73
152,Balgreen Road,Dynamic Earth,4884.61
153,Balgreen Road,East London Street,4614.51
154,Balgreen Road,Edinburgh Park Central,4036.41
155,Balgreen Road,Edinburgh Park Station,3736.73
156,Balgreen Road,Edinburgh Royal Infirmary,7251.75
157,Balgreen Road,Edinburgh Zoo,1185.64
158,Balgreen Road,EICC,2656.39
159,Balgreen Road,Ellersly Road,678.9
160,Balgreen Road,Fountainbridge,2652.82
161,Balgreen Road,Gamekeeper's Road,4870.36
162,Balgreen Road,George Square,3937.84
163,Balgreen Road,Gladstone Terrace,4117.39
164,Balgreen Road,Gorgie Road,1320.57
165,Balgreen Road,Grassmarket,3474.66
166,Balgreen Road,Haymarket Station,2178.81
167,Balgreen Road,Haymarket Terrace,1919.96
168,Balgreen Road,Heriot Watt - Edinburgh Business School,5449.54
169,Balgreen Road,Heriot Watt - Student Accommodation,5911.08
170,Balgreen Road,Hillside Crescent,5134.8
171,Balgreen Road,Holyrood Road,4557.84
172,Balgreen Road,Hunter Square,4123.25
173,Balgreen Road,IGMM - Western General,2893.67
174,Balgreen Road,Inverleith Row,4141.17
175,Balgreen Road,Joppa,9801.31
176,Balgreen Road,Kings Building 2,5250.17
177,Balgreen Road,Kings Buildings - Murchison House,4787.24
178,Balgreen Road,Kings Buildings 1,5085.69
179,Balgreen Road,Lauriston Place,3415.17
180,Balgreen Road,Leith Walk,5467.17
181,Balgreen Road,Logie Green Road,4438.52
182,Balgreen Road,Lothian Road,2976.53
183,Balgreen Road,McDonald Road,4963.24
184,Balgreen Road,Meadow Place,3519.74
185,Balgreen Road,Meadows East,4259.09
186,Balgreen Road,Meggetland,1665.59
187,Balgreen Road,Morningside Road,2849.77
188,Balgreen Road,Murrayfield,795.75
189,Balgreen Road,Murrayfield Tram,892.24
190,Balgreen Road,Ocean Terminal,6619.88
191,Balgreen Road,Orchard Brae House,2479.56
192,Balgreen Road,Pollock Halls,4944.14
193,Balgreen Road,Portobello - Kings Road,8532.08
194,Balgreen Road,Queen Margaret University,11113.78
195,Balgreen Road,Roseburn Street,1200.88
196,Balgreen Road,Scotland Street,4205.13
197,Balgreen Road,Sighthill - Edinburgh College,2751.69
198,Balgreen Road,Simon Square,4317.43
199,Balgreen Road,South Trinity Road,4492.32
200,Balgreen Road,St Andrew Square,4061.36
201,Balgreen Road,St Andrews House,4603.24
202,Balgreen Road,Stockbridge,3455.82
203,Balgreen Road,Surgeons Hall,4176.0
204,Balgreen Road,Tollcross,3047.18
205,Balgreen Road,Victoria Quay,6438.77
206,Balgreen Road,Waitrose Comely Bank,2865.9
207,Balgreen Road,Warrender Park Road,3306.21
208,Balgreen Road,Waverley Bridge,3964.36
209,Balgreen Road,Waverley Court,4403.76
210,Balgreen Road,West Crosscauseway,4155.77
211,Balgreen Road,Wester Coates Terrace,1412.5
212,Balgreen Road,Western General Hospital,2951.8
213,Belford Road,Abbeyhill,3375.71
214,Belford Road,Boroughmuir,1484.19
215,Belford Road,Borrowman Square,10249.06
216,Belford Road,Bristo Square,2407.0
217,Belford Road,Brunswick Place,2978.26
218,Belford Road,Bruntsfield Links,2056.8
219,Belford Road,Canonmills,2213.78
220,Belford Road,Castle Street,1429.2
221,Belford Road,Castle Terrace,1607.57
222,Belford Road,Causewayside,3338.85
223,Belford Road,Chambers Street,2366.88
224,Belford Road,Charlotte Square,1185.03
225,Belford Road,City Chambers,2242.62
226,Belford Road,Colinton Road,2233.53
227,Belford Road,Comely Bank Road,1052.41
228,Belford Road,Corstorphine Road,3050.13
229,Belford Road,Craigleith Road,891.8
230,Belford Road,Cramond Foreshore,5589.24
231,Belford Road,Crichton Street,2569.37
232,Belford Road,Dalry Road Lidl,1155.54
233,Belford Road,Dean Street,943.99
234,Belford Road,Drumsheugh Place,858.35
235,Belford Road,Dudley Gardens,3431.57
236,Belford Road,Duke Street,4117.31
237,Belford Road,Dundas Street,1829.58
238,Belford Road,Dundee Terrace,1406.55
239,Belford Road,Dynamic Earth,3139.32
240,Belford Road,East London Street,2572.5
241,Belford Road,Eden Locke - Aparthotel (RESIDENTS ONLY),1274.96
242,Belford Road,Edinburgh Zoo,2902.43
243,Belford Road,EICC,1178.91
244,Belford Road,Fountainbridge,1422.07
245,Belford Road,Gamekeeper's Road,5410.7
246,Belford Road,George Square,2553.51
247,Belford Road,Gorgie Road,1490.1
248,Belford Road,Grassmarket,1878.01
249,Belford Road,Hawes Pier,10809.76
250,Belford Road,Haymarket Station,866.89
251,Belford Road,Haymarket Terrace,684.89
252,Belford Road,Heriot Watt - Edinburgh Business School,7569.63
253,Belford Road,Hillside Crescent,3195.35
254,Belford Road,Holyrood Road,2858.57
255,Belford Road,Hopetoun Road,11890.94
256,Belford Road,Hunter Square,2398.59
257,Belford Road,IGMM - Western General,1239.84
258,Belford Road,Ingliston Park & Ride,8191.54
259,Belford Road,Inverleith Row,2018.22
260,Belford Road,Joppa,8187.6
261,Belford Road,Kings Building 2,4663.36
262,Belford Road,Kings Buildings - Murchison House,4250.74
263,Belford Road,Lauriston Place,1967.21
264,Belford Road,Leith Walk,3403.09
265,Belford Road,Leith Walk North,3719.88
266,Belford Road,Logie Green Road,2322.13
267,Belford Road,Lothian Road,1365.41
268,Belford Road,Marchmont Crescent,2636.43
269,Belford Road,McDonald Road,2880.08
270,Belford Road,Meadow Place,2355.04
271,Belford Road,Meadows East,3021.18
272,Belford Road,Meggetland,2752.12
273,Belford Road,Morningside Road,2855.66
274,Belford Road,Murrayfield,1353.36
275,Belford Road,Murrayfield Tram,1330.16
276,Belford Road,Ocean Terminal,4496.5
277,Belford Road,Orchard Brae House,378.9
278,Belford Road,Pollock Halls,3635.0
279,Belford Road,Portobello - Kings Road,6742.75
280,Belford Road,Queen Margaret University,9784.88
281,Belford Road,Roseburn Street,988.03
282,Belford Road,Royal Commonwealth Pool,3556.15
283,Belford Road,Scotland Street,2124.87
284,Belford Road,Sighthill - Edinburgh College,4845.77
285,Belford Road,Simon Square,2818.58
286,Belford Road,South Trinity Road,2430.66
287,Belford Road,St Andrew Square,2121.99
288,Belford Road,St Andrews House,2769.96
289,Belford Road,Stockbridge,1341.82
290,Belford Road,The Loan,11483.4
291,Belford Road,Tollcross,1676.66
292,Belford Road,Victoria Quay,4313.18
293,Belford Road,Waitrose Comely Bank,857.45
